Mid-yr,Ref_time_pt,Components,Pop_size,Pop_growth_r
1991,-,-,5752000,-
1992,-,-,5800500,-
1993,-,-,5901000,-
1994,-,-,6035400,-
1995,-,-,6156100,-
1996,-,-,6435500,-
1997,-,-,6489300,-
1998,-,-,6543700,-
1999,-,-,6606500,-
2000,-,-,6665000,-
2001,-,-,6714300,-
2002,-,-,6744100,-
2003,-,-,6730800,-
2004,-,-,6783500,-
2005,-,-,6813200,-
2006,-,-,6857100,-
2007,-,-,6916300,-
2008,-,-,6957800,-
2009,-,-,6972800,-
2010,-,-,7024200,-
2011,-,-,7071600,-
2012,-,-,7150100,-
2013,-,-,7178900,-
2014,-,-,7229500,-
2015,-,-,7291300,-
2016,-,-,7336600,-
2017,-,-,7393200,-
2018,-,-,7452600,-
2019,-,-,7507900,-
2020,-,-,7481000,-
2021,-,-,7413100,-
1991,Compared with the previous  reference time-point,Population growth,47500,-
1992,Compared with the previous  reference time-point,Population growth,48500,-
1993,Compared with the previous  reference time-point,Population growth,100500,-
1994,Compared with the previous  reference time-point,Population growth,134400,-
1995,Compared with the previous  reference time-point,Population growth,120700,-
1996,Compared with the previous  reference time-point,Population growth,154900,-
1997,Compared with the previous  reference time-point,Population growth,53800,-
1998,Compared with the previous  reference time-point,Population growth,54400,-
1999,Compared with the previous  reference time-point,Population growth,62800,-
2000,Compared with the previous  reference time-point,Population growth,58500,-
2001,Compared with the previous  reference time-point,Population growth,49300,-
2002,Compared with the previous  reference time-point,Population growth,29800,-
2003,Compared with the previous  reference time-point,Population growth,-13300,-
2004,Compared with the previous  reference time-point,Population growth,52700,-
2005,Compared with the previous  reference time-point,Population growth,29700,-
2006,Compared with the previous  reference time-point,Population growth,43900,-
2007,Compared with the previous  reference time-point,Population growth,59200,-
2008,Compared with the previous  reference time-point,Population growth,41500,-
2009,Compared with the previous  reference time-point,Population growth,15000,-
2010,Compared with the previous  reference time-point,Population growth,51400,-
2011,Compared with the previous  reference time-point,Population growth,47400,-
2012,Compared with the previous  reference time-point,Population growth,78500,-
2013,Compared with the previous  reference time-point,Population growth,28800,-
2014,Compared with the previous  reference time-point,Population growth,50700,-
2015,Compared with the previous  reference time-point,Population growth,61700,-
2016,Compared with the previous  reference time-point,Population growth,45300,-
2017,Compared with the previous  reference time-point,Population growth,56600,-
2018,Compared with the previous  reference time-point,Population growth,59400,-
2019,Compared with the previous  reference time-point,Population growth,55300,-
2020,Compared with the previous  reference time-point,Population growth,-26900,-
2021,Compared with the previous  reference time-point,Population growth,-67900,-
1991,Compared with the previous  reference time-point,Population growth rate,-,0.8
1992,Compared with the previous  reference time-point,Population growth rate,-,0.8
1993,Compared with the previous  reference time-point,Population growth rate,-,1.7
1994,Compared with the previous  reference time-point,Population growth rate,-,2.3
1995,Compared with the previous  reference time-point,Population growth rate,-,2
1996,Compared with the previous  reference time-point,Population growth rate,-,2.5
1997,Compared with the previous  reference time-point,Population growth rate,-,0.8
1998,Compared with the previous  reference time-point,Population growth rate,-,0.8
1999,Compared with the previous  reference time-point,Population growth rate,-,1
2000,Compared with the previous  reference time-point,Population growth rate,-,0.9
2001,Compared with the previous  reference time-point,Population growth rate,-,0.7
2002,Compared with the previous  reference time-point,Population growth rate,-,0.4
2003,Compared with the previous  reference time-point,Population growth rate,-,-0.2
2004,Compared with the previous  reference time-point,Population growth rate,-,0.8
2005,Compared with the previous  reference time-point,Population growth rate,-,0.4
2006,Compared with the previous  reference time-point,Population growth rate,-,0.6
2007,Compared with the previous  reference time-point,Population growth rate,-,0.9
2008,Compared with the previous  reference time-point,Population growth rate,-,0.6
2009,Compared with the previous  reference time-point,Population growth rate,-,0.2
2010,Compared with the previous  reference time-point,Population growth rate,-,0.7
2011,Compared with the previous  reference time-point,Population growth rate,-,0.7
2012,Compared with the previous  reference time-point,Population growth rate,-,1.1
2013,Compared with the previous  reference time-point,Population growth rate,-,0.4
2014,Compared with the previous  reference time-point,Population growth rate,-,0.7
2015,Compared with the previous  reference time-point,Population growth rate,-,0.9
2016,Compared with the previous  reference time-point,Population growth rate,-,0.6
2017,Compared with the previous  reference time-point,Population growth rate,-,0.8
2018,Compared with the previous  reference time-point,Population growth rate,-,0.8
2019,Compared with the previous  reference time-point,Population growth rate,-,0.7
2020,Compared with the previous  reference time-point,Population growth rate,-,-0.4
2021,Compared with the previous  reference time-point,Population growth rate,-,-0.9
1991,From the previous reference time-point to this reference time-point,Births,67400,-
1992,From the previous reference time-point to this reference time-point,Births,69700,-
1993,From the previous reference time-point to this reference time-point,Births,71300,-
1994,From the previous reference time-point to this reference time-point,Births,70600,-
1995,From the previous reference time-point to this reference time-point,Births,71100,-
1996,From the previous reference time-point to this reference time-point,Births,66300,-
1997,From the previous reference time-point to this reference time-point,Births,63200,-
1998,From the previous reference time-point to this reference time-point,Births,55100,-
1999,From the previous reference time-point to this reference time-point,Births,52100,-
2000,From the previous reference time-point to this reference time-point,Births,51100,-
2001,From the previous reference time-point to this reference time-point,Births,53100,-
2002,From the previous reference time-point to this reference time-point,Births,47100,-
2003,From the previous reference time-point to this reference time-point,Births,48600,-
2004,From the previous reference time-point to this reference time-point,Births,46100,-
2005,From the previous reference time-point to this reference time-point,Births,54100,-
2006,From the previous reference time-point to this reference time-point,Births,60300,-
2007,From the previous reference time-point to this reference time-point,Births,67400,-
2008,From the previous reference time-point to this reference time-point,Births,75000,-
2009,From the previous reference time-point to this reference time-point,Births,81300,-
2010,From the previous reference time-point to this reference time-point,Births,84700,-
2011,From the previous reference time-point to this reference time-point,Births,95300,-
2012,From the previous reference time-point to this reference time-point,Births,93200,-
2013,From the previous reference time-point to this reference time-point,Births,74300,-
2014,From the previous reference time-point to this reference time-point,Births,58800,-
2015,From the previous reference time-point to this reference time-point,Births,62500,-
2016,From the previous reference time-point to this reference time-point,Births,59800,-
2017,From the previous reference time-point to this reference time-point,Births,59500,-
2018,From the previous reference time-point to this reference time-point,Births,55000,-
2019,From the previous reference time-point to this reference time-point,Births,53300,-
2020,From the previous reference time-point to this reference time-point,Births,49500,-
2021,From the previous reference time-point to this reference time-point,Births,38500,-
1991,From the previous reference time-point to this reference time-point,Deaths,28300,-
1992,From the previous reference time-point to this reference time-point,Deaths,30700,-
1993,From the previous reference time-point to this reference time-point,Deaths,30200,-
1994,From the previous reference time-point to this reference time-point,Deaths,30000,-
1995,From the previous reference time-point to this reference time-point,Deaths,30700,-
1996,From the previous reference time-point to this reference time-point,Deaths,31300,-
1997,From the previous reference time-point to this reference time-point,Deaths,31400,-
1998,From the previous reference time-point to this reference time-point,Deaths,32300,-
1999,From the previous reference time-point to this reference time-point,Deaths,33000,-
2000,From the previous reference time-point to this reference time-point,Deaths,34200,-
2001,From the previous reference time-point to this reference time-point,Deaths,32500,-
2002,From the previous reference time-point to this reference time-point,Deaths,34300,-
2003,From the previous reference time-point to this reference time-point,Deaths,36100,-
